,item#,Item,Key,Dimension,Facet,fa_dim,fa_facet
4,i102,Wait for others to lead the way,E3,Extraversion,Assertiveness,Conscientiousness,Dimension not accurate enough
9,i107,Like to take it easy,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
23,i12,Take charge,E3,Extraversion,Assertiveness,Conscientiousness,Dimension not accurate enough
29,i17,Am always busy,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
90,i72,Take control of things,E3,Extraversion,Assertiveness,Conscientiousness,Dimension not accurate enough
95,i77,Do a lot in my spare time,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
